Source,Affiliation,Institution,Country,DOI,ORCID,gleif,grid,psi,wikidata,isni
CrossRef,"Fundação Getulio Vargas,  Brasil",FundaA?§A?£o Getulio Vargas,BR,10.1590/s0104-530x2008000100017,,,,,,
CrossRef,University of Liverpool; Liverpool UK,University of Liverpool;,UK,10.1002/9781118445112.stat06333,,,,,,
CrossRef,"The Institute of Scientific and Industrial Research, Osaka University","The Institute of Scientific and Industrial Research, Osaka University",,10.2320/matertrans1960.11.44,,,,,,
CrossRef,Roger Williams University,Roger Williams University,,10.1111/hisn.12062_70,,,,,,
CrossRef,"INSERM, U593; Bordeaux; France",INSERM,FR,10.1002/gps.2773,,,,,,
CrossRef,Southampton Oceanography Centre; Southampton United Kingdom,Southampton Oceanography Centre;,UK,10.1029/2001gl014259,,,,,,
CrossRef,"School of Liberal Arts, Seoul National University of Science and Technology, Seoul 139-743, Republic of Korea","School of Liberal Arts, Seoul National University of Science and Technology",,10.1155/2013/138109,,,,,,
CrossRef,"Yokohama City University Graduate School of Medicine, Yokohama, Japan",Yokohama City University Graduate School of Medicine,JP,10.1200/jco.2004.22.90140.4614,,,,,,
CrossRef,Fundação Faculdade Federal de Ciências Médicas de Porto Alegre,FundaA?§A?£o Faculdade Federal de CiA?ancias MA?©dicas de Porto Alegre,,10.1590/s0004-282x1989000300010,,,,,,
CrossRef,Jiangxi Key Laboratory of Organic Chemistry; Jiangxi Science & Technology Normal University; Nanchang 330013 People's Republic of China,Jiangxi Key Laboratory of Organic Chemistry; Jiangxi Science & Technology Normal University;,CN,10.1002/bio.2895,,,,,,
CrossRef,"Graduate School of Public Health, The Catholic University of Korea, Korea.","Graduate School of Public Health, The Catholic University of Korea",KR,10.3961/jpmph.2008.41.6.407,,,,,,
CrossRef,"Technical Research Center, Nippon Kokan Kabushiki Kaisha",Technical Research Center,,10.2320/jinstmet1952.31.4_527,,,,,,
CrossRef,"State Key Laboratory for Mineral Deposits Research, Department of Earth Sciences; Nanjing University; Nanjing China","State Key Laboratory for Mineral Deposits Research, Department of Earth Sciences; Nanjing University;",CN,10.1002/ggge.20114,,,,,,
CrossRef,"Department of Endocrinology and Metabolism, Soonchunhyang University Hospital, Seoul, Korea.","Department of Endocrinology and Metabolism, Soonchunhyang University Hospital",KR,10.3803/enm.2010.25.4.365,,,,,,
CrossRef,"Summarized by C. Mitchell Conover, CFA, University of Richmond.","Summarized by C. Mitchell Conover, CFA, University of Richmond.",,10.2469/dig.v34.n4.1580,,,,,,
CrossRef,"Free University of Brussels; Erasme Campus, CP 604, 808 Lennik Road Brussels 1070 Belgium",Free University of Brussels; Erasme Campus,BE,10.1113/ep085038,,,,,,
CrossRef,"Department of Obstetrics and Gynecology, Yonsei University College of Medicine, Seoul, Korea.","Department of Obstetrics and Gynecology, Yonsei University College of Medicine",KR,10.3349/ymj.1987.28.3.218,,,,,,
CrossRef,Universidade Federal Fluminense; U.F.R.J.,Universidade Federal Fluminense; U.F.R.J.,,10.1590/s0004-282x1976000100009,,,,,,
CrossRef,Department of Anesthesiology; Tongji Hospital; Tongji Medical College; Huazhong University of Science and Technology; Wuhan China,Department of Anesthesiology; Tongji Hospital; Tongji Medical College; Huazhong University of Science and Technology;,CN,10.1111/anae.13040,,,,,,
CrossRef,"National Institute for Materials Science (NIMS); Namiki 1-1 Tsukuba, Ibaraki 305-0044 Japan",National Institute for Materials Science (NIMS);,JP,10.1002/crat.201500258,,,,,,
CrossRef,"Department of Ophthalmology, Wallace Memorial Baptist Hospital, Busan, Korea.","Department of Ophthalmology, Wallace Memorial Baptist Hospital",KR,10.3341/jkos.2009.50.7.976,,,,,,
CrossRef,Liver Research Center; Beijing Friendship Hospital; Capital Medical University; Beijing China,Liver Research Center; Beijing Friendship Hospital; Capital Medical University;,CN,10.1111/petr.12198,,,,,,
CrossRef,King's University College at The University of Western Ontario,King's University College at The University of Western Ontario,,10.1111/j.1532-7795.2011.00777.x,,,,,,
CrossRef,"USP - University of Sao Paulo,  Brazil",USP - University of Sao Paulo,BR,10.1590/0103-6440201302258,,,,,,
CrossRef,University of Wisconsin-Milwaukee,University of Wisconsin-Milwaukee,US,10.1075/tsl.83,,,,,,
CrossRef,"State University of Maranhão (UEMA), Brazil",State University of MaranhA?£o (UEMA),BR,10.5220/0005449602450252,,,,,,
CrossRef,UFSCar Departamento de Psicologia,UFSCar Departamento de Psicologia,,10.17648/galoa-cbee-6-28391,,,,,,
CrossRef,Institute of Solid State Physics; NAWI Graz; Graz University of Technology; Petersgasse 16 8010 Graz Austria,Institute of Solid State Physics; NAWI Graz; Graz University of Technology;,AT,10.1002/admi.201500323,,,,,,
CrossRef,Hospital for Special Surgery; Weill Cornell Medical College; New York; NY; USA,Hospital for Special Surgery; Weill Cornell Medical College;,US,10.1002/sim.4296,,,,,,
CrossRef,"Department of Behavioral Sciences & Health Education, Rollins School of Public Health, Emory University, Atlanta, GA 30322, USA","Department of Behavioral Sciences & Health Education, Rollins School of Public Health, Emory University",US,10.1155/2011/765917,,,,,,
CrossRef,"Materials Chemistry Research Center, Department of Chemistry and Center of Excellence for Innovation in Chemistry, Faculty of Science; Khon Kaen University; Khon Kaen Thailand","Materials Chemistry Research Center, Department of Chemistry and Center of Excellence for Innovation in Chemistry, Faculty of Science; Khon Kaen University;",TH,10.1002/jssc.201600342,,,,,,
CrossRef,UMR 95 QualiSud; CIRAD; Saint Denis La Réunion France,UMR 95 QualiSud; CIRAD;,FR,10.1002/ejlt.201200435,,,,,,
CrossRef,"Department of RecreationParks, and Leisure Services Administration, Central Michigan University, USA","Department of RecreationParks, and Leisure Services Administration, Central Michigan University",US,10.3402/qhw.v9.23517,,,,,,
CrossRef,"School of Computer Science and Engineering, Northeastern University","School of Computer Science and Engineering, Northeastern University",,10.1587/transinf.2016edl8185,,,,,,
CrossRef,"Institute of Manufacturing Engineering; National Cheng Kung University; Tainan Taiwan, R.O.C.",Institute of Manufacturing Engineering; National Cheng Kung University; Tainan Taiwan,CN,10.1002/j.2334-5837.2004.tb00584.x,,,,,,
CrossRef,Arapahoe Community College,Arapahoe Community College,,10.1111/rsr.12035_17,,,,,,
CrossRef,State Key Laboratory of Clean Energy Utilization; Zhejiang University; Hangzhou 310027 China,State Key Laboratory of Clean Energy Utilization; Zhejiang University;,CN,10.1002/aic.15550,,,,,,
CrossRef,"Clinical Psychologist, Centre for Clinical Psychology, University of the Punjab, Lahore, Pakistan","Clinical Psychologist, Centre for Clinical Psychology, University of the Punjab",PK,10.3402/qhw.v8i0.22469,,,,,,
CrossRef,"Brain Science Institute, Korea Institute of Science and Technology, Seoul, Korea.","Brain Science Institute, Korea Institute of Science and Technology",KR,10.5213/inj.2014.18.4.171,,,,,,
CrossRef,EMBRAPA,EMBRAPA,,10.1590/s1415-43662009000400011,,,,,,
CrossRef,"Department of Rehabilitation Medicine, Seoul National University Hospital, Seoul, Korea.","Department of Rehabilitation Medicine, Seoul National University Hospital",KR,10.3346/jkms.2012.27.7.748,,,,,,
CrossRef,School of Medicine; University of Tasmania; Launceston Tasmania Australia,School of Medicine; University of Tasmania;,AU,10.1111/imj.12932,,,,,,
CrossRef,"Department of Chemical Engineering, Isfahan University of Technology, Isfahan, Iran","Department of Chemical Engineering, Isfahan University of Technology",IR,10.4018/ijcce.2016010101,,,,,,
CrossRef,UEPB-EAAC,UEPB-EAAC,,10.1590/s0102-05362003000300011,,,,,,
CrossRef,"Department of Pediatrics, Seoul National University Children's Hospital, Seoul, Korea.","Department of Pediatrics, Seoul National University Children's Hospital",KR,10.4070/kcj.2012.42.12.839,,,,,,
CrossRef,School of Environment; Beijing Normal University; Beijing China,School of Environment; Beijing Normal University;,CN,10.1111/gfs.12114,,,,,,
CrossRef,"Department of Surgery, Karamandanion Children’s Hospital, 26331 Patras, Greece","Department of Surgery, Karamandanion Childrena?s Hospital",GR,10.1155/2012/463628,,,,,,
CrossRef,"University of California, Davis; CA USA",University of California,US,10.1002/9781118445112.stat06057,,,,,,
CrossRef,CSIRO Oceans and Atmosphere Flagship; GPO Box 1538 Hobart TAS 7001 Australia,CSIRO Oceans and Atmosphere Flagship;,AU,10.1111/mec.13046,,,,,,
CrossRef,"Department of Otolaryngology, Taipei Veterans General Hospital, No. 201, Section 2, Shih-Pai Road, Taipei City 11217, Taiwan","Department of Otolaryngology, Taipei Veterans General Hospital",TW,10.1155/2013/439073,http://orcid.org/0000-0001-6331-331X,,,,,
CrossRef,Section for Surgical Pathophysiology; Rigshospitalet; Copenhagen University; Copenhagen Denmark,Section for Surgical Pathophysiology; Rigshospitalet; Copenhagen University;,DK,10.1111/aas.12860,,,,,,
CrossRef,Univ. Grenoble Alpes; F-38000 Grenoble France,Univ. Grenoble Alpes;,FR,10.1002/sia.6010,,,,,,
CrossRef,"Department of Earth Sciences, Faculty of Science, Okayama University","Department of Earth Sciences, Faculty of Science, Okayama University",,10.4294/zisin1948.33.3_391,,,,,,
CrossRef,Jet Propulsion Laboratory; California Institute of Technology; Pasadena California United States,Jet Propulsion Laboratory; California Institute of Technology; Pasadena California United States,US,10.1002/0471263869.sst021,,,,,,
CrossRef,Department of Medical Psychology; Academic Medical Center; University of Amsterdam; Amsterdam The Netherlands,Department of Medical Psychology; Academic Medical Center; University of Amsterdam;,NL,10.1111/hex.12566,http://orcid.org/0000-0001-5724-7934,,,,,
CrossRef,"Department of Physiology, University of Minnesota Medical School Minneapolis, Minnesota","Department of Physiology, University of Minnesota Medical School Minneapolis",US,10.1146/annurev.ph.31.030169.000245,,,,,,
CrossRef,"Universidade Federal de Santa Maria,  Brasil",Universidade Federal de Santa Maria,BR,10.1590/s1414-81452011000300008,,,,,,
CrossRef,Department of Neurosurgery; The Hangzhou First People's Hospital; Nanjing Medical University Affiliated Hangzhou Hospital; Hangzhou China,Department of Neurosurgery; The Hangzhou First People's Hospital; Nanjing Medical University Affiliated Hangzhou Hospital;,CN,10.1111/ane.12522,,,,,,
CrossRef,"University of Notre Dame, USA",University of Notre Dame,US,10.4018/978-1-60566-022-6.ch045,,,,,,
CrossRef,"Universidade Federal de Santa Catarina,  Brazil",Universidade Federal de Santa Catarina,BR,10.1590/0034-7167.2015680309i,,,,,,
CrossRef,"Division of Applied Chemistry, Graduate School of Engineering, Tokyo University of Agriculture and Technology","Division of Applied Chemistry, Graduate School of Engineering, Tokyo University of Agriculture and Technology",,10.5059/yukigoseikyokaishi.74.854,,,,,,
CrossRef,Radiation Effect Accumulation and Prevention Project; Fukushima Project Headquarters; National Institute of Radiological Sciences; Chiba Japan,Radiation Effect Accumulation and Prevention Project; Fukushima Project Headquarters; National Institute of Radiological Sciences; Chiba,JP,10.1111/cas.12591,,,,,,
CrossRef,"K.L. Maddy Equine Analytical Chemistry Laboratory, School of Veterinary Medicine; University of California; 620 West Health Science Drive Davis CA 95616 USA","K.L. Maddy Equine Analytical Chemistry Laboratory, School of Veterinary Medicine; University of California;",US,10.1002/dta.1737,,,,,,
CrossRef,Department of Neurology; The Urals State Medical Academy; Yekaterinburg; Russia,Department of Neurology; The Urals State Medical Academy;,RU,10.1111/j.1526-4610.2013.02272.x,,,,,,
CrossRef,Universidade Federal de Campina Grande,Universidade Federal de Campina Grande,,10.1619/fesi.58.321,,,,,,
CrossRef,Departments of Pathology and Medical Genetics; St. Olavs Hospital; Trondheim; Norway,Departments of Pathology and Medical Genetics; St. Olavs Hospital;,NO,10.1111/apt.12012,,,,,,
CrossRef,"The Air University, USA",The Air University,US,10.4018/978-1-5225-2182-2.ch004,,,,,,
CrossRef,"Department of Radiology, Guru Gobind Singh Medical College and Hospital, Baba Farid University of Health Sciences, Faridkot, Punjab, India","Department of Radiology, Guru Gobind Singh Medical College and Hospital, Baba Farid University of Health Sciences",IN,10.12659/pjr.901072,,,,,,
CrossRef,"<I>Department of Animal Breeding, Faculty of Agriculture, Nagoya University</I>","<I>Department of Animal Breeding, Faculty of Agriculture, Nagoya University</I>",,10.1538/expanim1957.11.4_194,,,,,,
CrossRef,"Department of Engineering Science, Faculty of Engineering, Hokkaido University","Department of Engineering Science, Faculty of Engineering, Hokkaido University",,10.1143/jpsj.49.8,,,,,,
CrossRef,"Department of Psychology; Auburn University, 226 Thach Hall, Auburn, AL 36849.",Department of Psychology; Auburn University,US,10.1111/josh.12473,,,,,,
CrossRef,"Department of Dermatology, University Hospital of Nice, Nice, France2Centre de Recherche Clinique, University Hospital of Nice, Nice, France","Department of Dermatology, University Hospital of Nice, Nice, France2Centre de Recherche Clinique, University Hospital of Nice",FR,10.1001/jamadermatol.2015.2234,,,,,,
CrossRef,Department of Entomology and Nematology; University of California; Davis CA USA,Department of Entomology and Nematology; University of California; Davis CA,US,10.1002/ps.4507,http://orcid.org/0000-0002-9842-7525,,,,,
CrossRef,Department of Engineering; University Roma Tre; Rome Italy,Department of Engineering; University Roma Tre;,IT,10.1002/2013wr014214,,,,,,
CrossRef,"Department of Neurology and Hertie Institute for Clinical Brain Research, University of Tübingen, Tübingen, Germany2German Center of Neurodegenerative Disease, Tübingen, Germany","Department of Neurology and Hertie Institute for Clinical Brain Research, University of TA?1?4bingen, TA?1?4bingen, Germany2German Center of Neurodegenerative Disease",DE,10.1001/jamaneurol.2016.2940,,,,,,
CrossRef,"Department of Endocrinology and Metabolism, School of Medicine, Kyung Hee University, Seoul, Republic of Korea","Department of Endocrinology and Metabolism, School of Medicine, Kyung Hee University",,10.1080/10934529.2017.1294964,,,,,,
CrossRef,School of Chemical Engineering; The University of Queensland; St Lucia Queensland Australia,School of Chemical Engineering; The University of Queensland;,AU,10.1002/lno.10319,,,,,,
CrossRef,"Embrapa Semi-Árido,  Brasil",Embrapa Semi-A?rido,BR,10.1590/s0102-33062007000400022,,,,,,
CrossRef,"Alibaba Group, Hangzhou, China",Alibaba Group,CN,10.1145/3093336.3037699,,,,,,
CrossRef,"Technical Research Laboratories, Sumitomo Metal Industries, Ltd.","Technical Research Laboratories, Sumitomo Metal Industries, Ltd.",,10.2355/tetsutohagane1955.73.10_1381,,,,,,
CrossRef,"Department of Orthopaedics, Shanghai Pudong New Area Gongli Hospital/Clinical School, The Second Military Medical University, Shanghai 200135, China","Department of Orthopaedics, Shanghai Pudong New Area Gongli Hospital/Clinical School, The Second Military Medical University",CN,10.1155/2015/967673,http://orcid.org/0000-0002-9858-2314,,,,,
CrossRef,"Assistant and Director, Forensic Science Laboratory, respectively Colorado State University Ft. Collins, CO, US.","Assistant and Director, Forensic Science Laboratory, respectively Colorado State University Ft.",US,10.1520/jfs13722j,,,,,,
CrossRef,"Department of Anesthesiology and Pain Medicine, Asan Medical Center, Ulsan University School of Medicine, Seoul, Korea.","Department of Anesthesiology and Pain Medicine, Asan Medical Center, Ulsan University School of Medicine",KR,10.4097/kjae.2006.50.6.650,,,,,,
CrossRef,"NamesforLife, LLC","NamesforLife, LLC",,10.1601/tx.11423,http://orcid.org/0000-0002-7436-3176,,,,,
CrossRef,School of Biotechnology and Biomolecular Sciences and Centre for Marine Bio-Innovation; University of New South Wales; Sydney NSW 2052 Australia,School of Biotechnology and Biomolecular Sciences and Centre for Marine Bio-Innovation; University of New South Wales;,AU,10.1111/mec.12384,,,,,,
CrossRef,"Department of Cardiology, School of Medicine Kyung Hee University, Kyung Hee University Hospital at Gangdong, Seoul, Korea.","Department of Cardiology, School of Medicine Kyung Hee University, Kyung Hee University Hospital at Gangdong",KR,10.4250/jcu.2012.20.1.30,,,,,,
CrossRef,"Poliklinik für Zahnärztliche Prothetik, Universitätsklinikum Hamburg-Eppendorf, Hamburg, Deutschland","Poliklinik fA?1?4r ZahnA?¤rztliche Prothetik, UniversitA?¤tsklinikum Hamburg-Eppendorf",DE,10.1055/s-0033-1347030,,,,,,
CrossRef,"UERJ,  Brasil",UERJ,BR,10.1590/s0102-71822011000300022,,,,,,
CrossRef,"Department of Radiology, Chonbuk National University Medical School and Hospital, Research Institute of Clinical Medicine, Korea.","Department of Radiology, Chonbuk National University Medical School and Hospital, Research Institute of Clinical Medicine",KR,10.3348/jkrs.2008.59.5.311,,,,,,
CrossRef,Saint Francis Xavier University; Antigonish Nova Scotia Canada,Saint Francis Xavier University;,CA,10.1002/ace.20198,,,,,,
CrossRef,"Department of Oncology, The First Affiliated Hospital; College of Medicine of Xi'an Jiaotong University; Xi'an P. R. China","Department of Oncology, The First Affiliated Hospital; College of Medicine of Xi'an Jiaotong University;",CN,10.1002/hep.28372,,,,,,
CrossRef,Jiangsu Key Laboratory of Translational Research and Therapy for Neuro-Psycho-Diseases and College of Pharmaceutical Sciences; Jiangsu Key Laboratory of Preventive and Translational Medicine for Geriatric Diseases; Soochow University; Suzhou Jiangsu P. R. China,Jiangsu Key Laboratory of Translational Research and Therapy for Neuro-Psycho-Diseases and College of Pharmaceutical Sciences; Jiangsu Key Laboratory of Preventive and Translational Medicine for Geriatric Diseases; Soochow University;,CN,10.1002/pmic.201500356,,,,,,
CrossRef,"Department of Mathematics, Acharya Nagarjuna University, Guntur 522004, India","Department of Mathematics, Acharya Nagarjuna University",IN,10.1155/2014/745031,,,,,,
CrossRef,"Department of Ecology, Evolution, and Natural Resources; Rutgers University; New Brunswick NJ USA",Department of Ecology,US,10.1111/faf.12208,,,,,,
CrossRef,"Los Alamos National Lab. (LANL), Los Alamos, NM (United States)",Los Alamos National Lab. (LANL),US,10.2172/1259635,,,,,,
CrossRef,"U of Essen Medical School, Dept of Internal Medicine (Cancer Research), Essen, Germany; Faustus Forschung, Translational Drug Development AG, Vienna, Austria; U of Bonn, Inst of Pharmacy, Bonn, Germany; U of Vienna, Inst of Inorganic Chemistry, Vienna, Austria; LBI-ACR Vienna, Dept. of Oncol. KFJ-Spital, Vienna, Austria; Central European Soc. for Anticancer Drug Research, CESAR-EWIV","U of Essen Medical School, Dept of Internal Medicine (Cancer Research)",DE,10.1200/jco.2004.22.14_suppl.2101,,,,,,
CrossRef,Plymouth University; UK,Plymouth University;,UK,10.1002/berj.3024,,,,,,
CrossRef,"Department of Economics and Territory, Branch of Economic Statistics, University of Catania, Italy","Department of Economics and Territory, Branch of Economic Statistics, University of Catania",IT,10.2495/eeia080231,,,,,,
CrossRef,"Department of Ophthalmology, Seoul National University Bundang Hospital, Seoul National University College of Medicine, Seongnam, Korea.","Department of Ophthalmology, Seoul National University Bundang Hospital, Seoul National University College of Medicine",KR,10.3341/kjo.2011.25.5.355,,,,,,
CrossRef,"Division of Gastroenterology, Department of Internal Medicine, Hallym University Sacred Heart Hospital, Hallym University College of Medicine, Anyang, Korea.","Division of Gastroenterology, Department of Internal Medicine, Hallym University Sacred Heart Hospital, Hallym University College of Medicine",KR,10.5946/ce.2015.48.1.66,,,,,,
CrossRef,"University of California, Irvine, Irvine, CA 92612, USA",University of California,US,10.1145/2839462.2856552,,,,,,
CrossRef,"National Cancer Institute, Rockville, MD",National Cancer Institute,US,10.1200/jco.2015.64.6026,,,,,,
CrossRef,School of Engineering; London South Bank University; 103 Borough Road London SE1 0AA UK,School of Engineering; London South Bank University;,UK,10.1111/ics.12209,,,,,,
CrossRef,"Department of Mechanics, Sun Yat-sen University, No. 135 Xingang Road, Guangzhou 510275, China","Department of Mechanics, Sun Yat-sen University",CN,10.1155/2016/9430528,,,,,,
CrossRef,Department of Restorative Dentistry; School of Dentistry; Universidade Federal de Minas Gerais; Belo Horizonte MG Brazil,Department of Restorative Dentistry; School of Dentistry; Universidade Federal de Minas Gerais;,BR,10.1111/eos.12257,,,,,,
CrossRef,"Department of Obstetrics, Zurich University Hospital, Frauenklinikstraße 10, 8091 Zurich, Switzerland","Department of Obstetrics, Zurich University Hospital",CH,10.1155/2014/874984,,,,,,
CrossRef,"Newcastle Business School, Northumbria University City Campus East 1 Newcastle upon Tyne NE1 8ST UK",Newcastle Business School,UK,10.1080/23311975.2016.1138849,,,,,,
CrossRef,"Department of Economics, University of Manitoba, Winnipeg, Manitoba","Department of Economics, University of Manitoba",,10.3138/cpp.2016-082,,,,,,
CrossRef,"Technology Center, Taisei Corporation","Technology Center, Taisei Corporation",,10.3130/aijs.71.125,,,,,,
CrossRef,"Laboratory of Management Decision and Information Systems, Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing, China & Department of Computer Science, Federal University of Agriculture, Abeokuta, Nigeria","Laboratory of Management Decision and Information Systems, Academy of Mathematics and Systems Science, Chinese Academy of Sciences",NG,10.4018/ijsse.2016070101,,,,,,
CrossRef,"Institute of Biotechnology, University of Helsinki, and Department of Plant Biology, Genetic Centre, Swedish University of Agricultural Sciences (SLU)","Institute of Biotechnology, University of Helsinki, and Department of Plant Biology, Genetic Centre, Swedish University of Agricultural Sciences",,10.1094/pdis.1998.82.12.1304,,,,,,
CrossRef,Department of Joint; Tianjin Hospital; Tianjin China,Department of Joint; Tianjin Hospital;,CN,10.1111/os.12321,,,,,,
CrossRef,Department of Environmental Engineering; Middle East Technical University; Ankara Turkey,Department of Environmental Engineering; Middle East Technical University;,TR,10.1002/clen.201600194,,,,,,
CrossRef,Department of Clinical Radiology; University Hospital Münster; 48149 Münster Germany,Department of Clinical Radiology; University Hospital MA?1?4nster;,DE,10.1002/mrm.26095,,,,,,
CrossRef,State Key Laboratory of Water Resources and Hydropower Engineering Science; Wuhan University; Wuhan China,State Key Laboratory of Water Resources and Hydropower Engineering Science; Wuhan University;,CN,10.1002/2016jb013469,,,,,,
CrossRef,"Department of Radiation Therapy, National Cancer Center Hospital","Department of Radiation Therapy, National Cancer Center Hospital",,10.3191/thermalmedicine.3.27,,,,,,
CrossRef,"Liver Transplant Service, Department of Gastroenterology & Hepatology, Singapore General Hospital, Singapore 169608","Liver Transplant Service, Department of Gastroenterology & Hepatology, Singapore General Hospital",,10.1155/2011/654792,,,,,,
CrossRef,"IMDEA-Nanociencia, C/ Faraday 9, Ciudad; Universitaria de Cantoblanco; 28049 Madrid Spain",IMDEA-Nanociencia,ES,10.1002/anie.201511877,,,,,,
CrossRef,"Japan Display Inc., 2-9-50 Chuo, Ebina City, Kanagawa 243-0432, Japan",Japan Display Inc.,JP,10.1002/sdtp.10237,,,,,,
CrossRef,"Universidade Federal do Rio Grande do Sul (UFRGS),  Brazil",Universidade Federal do Rio Grande do Sul (UFRGS),BR,10.1590/1516-4446-2013-1128,,,,,,
CrossRef,"Centre for High Performance Computing, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences; Shenzhen 518055 China","Centre for High Performance Computing, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences;",CN,10.1002/prot.24979,,,,,,
CrossRef,"School of Physics, University of New South Wales, 
Sydney 2052, Australia","School of Physics, University of New South Wales",AU,10.1143/jpsj.65.2730,,,,,,
CrossRef,"Laboratoire Matériaux et Environnement LME, Faculté des Sciences, Université Ibn Zohr, BP 8106, Cité Dakhla, 80000 Agadir, Morocco","Laboratoire MatA?©riaux et Environnement LME, FacultA?© des Sciences, UniversitA?© Ibn Zohr",MA,10.1155/2009/502437,,,,,,
CrossRef,"Univ. of California, Berkeley, CA (United States)",Univ. of California,US,10.2172/1076791,,,,,,
CrossRef,Faculty of Dentistry; The University of Hong Kong; Hong Kong China,Faculty of Dentistry; The University of Hong Kong;,,10.1111/eje.12075,,,,,,
CrossRef,Inflammation and Allergy Research Group; University Hospitals of Geneva and University of Geneva; Geneva Switzerland,Inflammation and Allergy Research Group; University Hospitals of Geneva and University of Geneva;,CH,10.1111/cei.12561,,,,,,
CrossRef,"UFMG,  Brasil",UFMG,BR,10.1590/s0103-73072012000300010,,,,,,
CrossRef,Department of Physics; Indian Institute of Technology Guwahati; Guwahati 781039 India,Department of Physics; Indian Institute of Technology,IN,10.1111/jace.12851,,,,,,
CrossRef,Department of Otolaryngology-Head and Neck Surgery; Weill Cornell Medical College; New York NY,Department of Otolaryngology-Head and Neck Surgery; Weill Cornell Medical College;,US,10.1002/alr.21281,,,,,,
CrossRef,None,None,,10.14221/ajte.2011v36n5.5,,,,,,
CrossRef,Department of Petroleum Engineering and Applied Geophysics; Norwegian University of Science and Technology; S.P. Andersens veg 15a NO-7491 Trondheim Norway,Department of Petroleum Engineering and Applied Geophysics; Norwegian University of Science and Technology;,NO,10.1111/1365-2478.12481,,,,,,
CrossRef,"Universidade Federal de Pernambuco (UFPE),  Brasil",Universidade Federal de Pernambuco (UFPE),BR,10.1590/s1678-69712012000600007,,,,,,
CrossRef,"Department of Urology, Xiangyang Hospital, Hubei University of Medicine","Department of Urology, Xiangyang Hospital, Hubei University of Medicine",,10.1620/tjem.238.105,,,,,,
CrossRef,"Department of Medical Zoology, Osaka City University, Medical School","Department of Medical Zoology, Osaka City University, Medical School",,10.7601/mez.6.98,,,,,,
CrossRef,Departamento de Ciência e Tecnologia de Alimentos / UFSC,Departamento de CiA?ancia e Tecnologia de Alimentos / UFSC,,10.17648/sinaferm-2015-33425,,,,,,
CrossRef,National Research Institute for Metals,National Research Institute for Metals,,10.1143/jpsj.18.488,,,,,,
CrossRef,"Faculty of Science, Ibaraki University","Faculty of Science, Ibaraki University",,10.2142/biophys.50.s10_5,,,,,,
CrossRef,Fraunhofer ITWM; 67663 Kaiserslautern Germany,Fraunhofer ITWM;,DE,10.1002/nme.5511,http://orcid.org/0000-0002-4807-5322,,,,,
CrossRef,Hospital Municipal Dr Fernando Mauro Pires da Rocha,Hospital Municipal Dr Fernando Mauro Pires da Rocha,,10.1590/s0004-282x2002000600026,,,,,,
CrossRef,Department of Earth Sciences; University of Western Ontario; London Ontario Canada,Department of Earth Sciences; University of Western Ontario;,CA,10.1029/2001wr000496,,,,,,
CrossRef,"Augenheilkunde, Universitätskliniken , Tübingen",Augenheilkunde,,10.1055/s-0034-1383256,,,,,,
CrossRef,School of Life Sciences; University of Lincoln; Brayford Pool; Lincoln; LN6 7TS; UK,School of Life Sciences; University of Lincoln;,UK,10.1002/dta.1434,,,,,,
CrossRef,"Department of Surgery, Saiseikai Kanagawaken Hospital","Department of Surgery, Saiseikai Kanagawaken Hospital",,10.4030/jjcs1979.27.1_54,,,,,,
CrossRef,"University of Michigan School of Medicine, Cardiovascular Center; 1500 E. Medical Center Dr.; Ann Arbor MI 48109 USA","University of Michigan School of Medicine, Cardiovascular Center; 1500 E. Medical Center Dr.",US,10.1093/eurjhf/hfr150,,,,,,
CrossRef,"Department of Physics, Faculty of Science and Technology, Tokyo University of Science, Noda, Chiba 278-8510","Department of Physics, Faculty of Science and Technology, Tokyo University of Science",,10.1143/jpsj.78.074004,,,,,,
CrossRef,School of Health and Human Sciences; Southern Cross University; Lismore; NSW; Australia,School of Health and Human Sciences; Southern Cross University;,AU,10.1111/jcap.12020,,,,,,
CrossRef,"School of Nursing and Midwifery, Alliance for Self Care Research; University of Dundee; Dundee; UK","School of Nursing and Midwifery, Alliance for Self Care Research; University of Dundee;",UK,10.1002/pon.2055,,,,,,
CrossRef,University College Cork; Ireland,University College Cork;,IE,10.1111/1468-2346.12532,,,,,,
CrossRef,Theoretical Division; Los Alamos National Laboratory; Los Alamos New Mexico USA,Theoretical Division; Los Alamos National Laboratory; Los Alamos New Mexico USA,US,10.1002/2014ja020858,,,,,,
CrossRef,"Department of Internal Medicine, Institute of Gastroenterology, Gangnam Severance Hospital, Yonsei University College of Medicine, Seoul, Korea.","Department of Internal Medicine, Institute of Gastroenterology, Gangnam Severance Hospital, Yonsei University College of Medicine",KR,10.5217/ir.2013.11.4.233,,,,,,
CrossRef,"Department of Physics, Anhui Chaohu College, Chaohu 238000, P. R. China","Department of Physics, Anhui Chaohu College",CN,10.1143/jpsj.74.905,,,,,,
CrossRef,"Division of Respirology, Neurology, and Rheumatology, Department of Internal Medicine, Kurume University School of Medicine, Japan",Division of Respirology,JP,10.2169/internalmedicine.55.6300,,,,,,
